Product_Name,Product_Description,Color,Wholesale_Price,Retail_Price,VendorID
Nike Dri-FIT Swoosh Visor. 429466,A high-performance three-panel visor built with Dri-FIT moisture management technology. Contrast stitching adds interest while the hook and loop closure ensures a custom fit. The contrast Swoosh design trademark is embroidered on the bill. Front panel measures approximately 1.875 h x 10 w. Made of 100% Dri-FIT polyester twill. ,White,9.25,18.5,2000
Nike Dri-FIT Swoosh Perforated Cap. 429467,Maximum breathability is achieved with Dri-FIT moisture management technology and perforated mid and back panels. A contrast underbill reduces sun glare. This 6-panel cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% Dri-FIT polyester. ,Black,12.25,24.5,2000
Nike Dri-FIT Swoosh Perforated Cap. 429467,Maximum breathability is achieved with Dri-FIT moisture management technology and perforated mid and back panels. A contrast underbill reduces sun glare. This 6-panel cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% Dri-FIT polyester. ,Navy,12.25,24.5,2000
Nike Dri-FIT Swoosh Perforated Cap. 429467,Maximum breathability is achieved with Dri-FIT moisture management technology and perforated mid and back panels. A contrast underbill reduces sun glare. This 6-panel cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% Dri-FIT polyester. ,White,12.25,24.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Deep Black,7.25,14.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,True White,7.25,14.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Deep Navy,7.25,14.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Dark Khaki,7.25,14.5,2000
Nike Dri-FIT Swoosh Front Cap. 548533,The contrast welded Swoosh design trademark takes front and center on this unstructured moisture-wicking cap. A low-profile contrast underbill and hook and loop closure complete this sporty design. Made of 100% Dri-FIT polyester. ,Anthracite/ Black,10.25,20.5,2000
Nike Dri-FIT Swoosh Front Cap. 548533,The contrast welded Swoosh design trademark takes front and center on this unstructured moisture-wicking cap. A low-profile contrast underbill and hook and loop closure complete this sporty design. Made of 100% Dri-FIT polyester. ,Black/ White,10.25,20.5,2000
Nike Dri-FIT Swoosh Front Cap. 548533,The contrast welded Swoosh design trademark takes front and center on this unstructured moisture-wicking cap. A low-profile contrast underbill and hook and loop closure complete this sporty design. Made of 100% Dri-FIT polyester. ,Game Royal/ White,10.25,20.5,2000
Nike Dri-FIT Swoosh Front Cap. 548533,The contrast welded Swoosh design trademark takes front and center on this unstructured moisture-wicking cap. A low-profile contrast underbill and hook and loop closure complete this sporty design. Made of 100% Dri-FIT polyester. ,Lucky Green/ White,10.25,20.5,2000
Nike Dri-FIT Swoosh Front Cap. 548533,The contrast welded Swoosh design trademark takes front and center on this unstructured moisture-wicking cap. A low-profile contrast underbill and hook and loop closure complete this sporty design. Made of 100% Dri-FIT polyester. ,White/ Black,10.25,20.5,2000
Nike Swoosh Legacy 91 Cap. 779797,With a smooth front panel and stretch for comfort this moisture-wicking cap continues a legacy of performance. This popular cap has been modernized from its original 1991 design with an unstructured mid-profile and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill. Made of 5.6-ounce 90/10 polyester/spandex. ,Cool Grey/ Dark Grey,11.25,22.5,2000
Nike Swoosh Legacy 91 Cap. 779797,With a smooth front panel and stretch for comfort this moisture-wicking cap continues a legacy of performance. This popular cap has been modernized from its original 1991 design with an unstructured mid-profile and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill. Made of 5.6-ounce 90/10 polyester/spandex. ,White/ White,11.25,22.5,2000
Nike Swoosh Legacy 91 Cap. 779797,With a smooth front panel and stretch for comfort this moisture-wicking cap continues a legacy of performance. This popular cap has been modernized from its original 1991 design with an unstructured mid-profile and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill. Made of 5.6-ounce 90/10 polyester/spandex. ,Game Royal/ White,11.25,22.5,2000
Nike Swoosh Legacy 91 Cap. 779797,With a smooth front panel and stretch for comfort this moisture-wicking cap continues a legacy of performance. This popular cap has been modernized from its original 1991 design with an unstructured mid-profile and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill. Made of 5.6-ounce 90/10 polyester/spandex. ,Dark Grey/ White,11.25,22.5,2000
Nike Swoosh Legacy 91 Cap. 779797,With a smooth front panel and stretch for comfort this moisture-wicking cap continues a legacy of performance. This popular cap has been modernized from its original 1991 design with an unstructured mid-profile and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill. Made of 5.6-ounce 90/10 polyester/spandex. ,Black/ Black,11.25,22.5,2000
Nike Swoosh Legacy 91 Cap. 779797,With a smooth front panel and stretch for comfort this moisture-wicking cap continues a legacy of performance. This popular cap has been modernized from its original 1991 design with an unstructured mid-profile and a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill. Made of 5.6-ounce 90/10 polyester/spandex. ,Navy/ Navy,11.25,22.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,Game Royal/ White,10.25,20.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,Black/ Gym Red,10.25,20.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,Anthracite/ Anthracite,10.25,20.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,Black/ White,10.25,20.5,2000
Nike Sphere Dry Cap. 247077,Nike Sphere Dry technology ensures maximum moisture control and quick-drying performance. This cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% polyester. ,White/ Black,10.25,20.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Mean Green,6.99,13.98,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Fusion Pink,7.25,14.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Dark Grey,7.25,14.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Game Royal,7.25,14.5,2000
Nike Unstructured Twill Cap. 580087,The perfect classic look with a contrast underbill as engineered by Nike. This cap has an unstructured mid-profile design and a self-fabric closure with buckle. The contrast Swoosh design trademark is embroidered on the center back. Made of 58/42 cotton/poly twill. ,Gym Red,7.25,14.5,2000
Nike Dri-FIT Swoosh Perforated Cap. 429467,Maximum breathability is achieved with Dri-FIT moisture management technology and perforated mid and back panels. A contrast underbill reduces sun glare. This 6-panel cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% Dri-FIT polyester. ,Anthracite,12.25,24.5,2000
Nike Dri-FIT Swoosh Perforated Cap. 429467,Maximum breathability is achieved with Dri-FIT moisture management technology and perforated mid and back panels. A contrast underbill reduces sun glare. This 6-panel cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% Dri-FIT polyester. ,Blue Sapphire,12.25,24.5,2000
Nike Dri-FIT Swoosh Perforated Cap. 429467,Maximum breathability is achieved with Dri-FIT moisture management technology and perforated mid and back panels. A contrast underbill reduces sun glare. This 6-panel cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% Dri-FIT polyester. ,University Red,12.25,24.5,2000
Nike Dri-FIT Swoosh Perforated Cap. 429467,Maximum breathability is achieved with Dri-FIT moisture management technology and perforated mid and back panels. A contrast underbill reduces sun glare. This 6-panel cap has an unstructured low-profile design with a hook and loop closure. The contrast Swoosh design trademark is embroidered on the bill and center back. Made of 100% Dri-FIT polyester. ,Lucky Green,12.25,24.5,2000
Nike Dri-FIT Tech Cap. NKAA1859,This durable lightly structured low-profile ripstop cap delivers ultimate comfort thanks to Dri-FIT moisture-wicking technology embroidered eyelets for enhanced breathability and a soft hook and loop closure. The contrast Swoosh design trademark is embroidered on center back. Made of 91/9 polyester ripstop/spandex. ,Black/ White,11.25,22.5,2000
Nike Dri-FIT Tech Cap. NKAA1859,This durable lightly structured low-profile ripstop cap delivers ultimate comfort thanks to Dri-FIT moisture-wicking technology embroidered eyelets for enhanced breathability and a soft hook and loop closure. The contrast Swoosh design trademark is embroidered on center back. Made of 91/9 polyester ripstop/spandex. ,White/ Black,11.25,22.5,2000
Nike Dri-FIT Tech Cap. NKAA1859,This durable lightly structured low-profile ripstop cap delivers ultimate comfort thanks to Dri-FIT moisture-wicking technology embroidered eyelets for enhanced breathability and a soft hook and loop closure. The contrast Swoosh design trademark is embroidered on center back. Made of 91/9 polyester ripstop/spandex. ,Navy/ White,11.25,22.5,2000
Nike Dri-FIT Tech Cap. NKAA1859,This durable lightly structured low-profile ripstop cap delivers ultimate comfort thanks to Dri-FIT moisture-wicking technology embroidered eyelets for enhanced breathability and a soft hook and loop closure. The contrast Swoosh design trademark is embroidered on center back. Made of 91/9 polyester ripstop/spandex. ,Cool Grey/ White,11.25,22.5,2000
Nike Dri-FIT Tech Cap. NKAA1859,This durable lightly structured low-profile ripstop cap delivers ultimate comfort thanks to Dri-FIT moisture-wicking technology embroidered eyelets for enhanced breathability and a soft hook and loop closure. The contrast Swoosh design trademark is embroidered on center back. Made of 91/9 polyester ripstop/spandex. ,Photo Blue/ White,11.25,22.5,2000
Nike Dri-FIT Tech Cap. NKAA1859,This durable lightly structured low-profile ripstop cap delivers ultimate comfort thanks to Dri-FIT moisture-wicking technology embroidered eyelets for enhanced breathability and a soft hook and loop closure. The contrast Swoosh design trademark is embroidered on center back. Made of 91/9 polyester ripstop/spandex. ,Anthracite/ White,11.25,22.5,2000
Carhartt Odessa Cap. CT100289,This top-selling classic cap is tried-and-true Carhartt. 100% cotton washed canvas Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Lightly structured Mid profile Pre-curved visor Adjustable fit with hook and loop closure Leatherette Carhartt label sewn on front Carhartt embroidered on back ,Carhartt Brown,10.2,18.55,2001
Carhartt Odessa Cap. CT100289,This top-selling classic cap is tried-and-true Carhartt. 100% cotton washed canvas Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Lightly structured Mid profile Pre-curved visor Adjustable fit with hook and loop closure Leatherette Carhartt label sewn on front Carhartt embroidered on back ,Army Green,10.2,18.55,2001
Carhartt Rugged Professional Series Cap. CT103056,This all-star canvas hat has stretch technology and a sweat-fighting band. 59/39/2 cotton/poly/spandex with 100% polyester mesh back Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Structured Mid profile Pre-curved visor Adjustable fit with plastic closure Carhartt label sewn on side ,Navy,10.2,17,2001
Carhartt Rugged Professional Series Cap. CT103056,This all-star canvas hat has stretch technology and a sweat-fighting band. 59/39/2 cotton/poly/spandex with 100% polyester mesh back Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Structured Mid profile Pre-curved visor Adjustable fit with plastic closure Carhartt label sewn on side ,Dark Khaki,10.2,17,2001
Carhartt Rugged Professional Series Cap. CT103056,This all-star canvas hat has stretch technology and a sweat-fighting band. 59/39/2 cotton/poly/spandex with 100% polyester mesh back Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Structured Mid profile Pre-curved visor Adjustable fit with plastic closure Carhartt label sewn on side ,Black,10.2,17,2001
Carhartt Ashland Cap. CT101604,Featuring cotton duck construction this cap delivers the incredible toughness you expect from Carhartt. 100% firm hand cotton duck canvas Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Structured High profile Flat brim visor Adjustable fit with plastic closure Carhartt label sewn on front Carhartt embroidered on back ,Black,11,20,2001
Carhartt Ashland Cap. CT101604,Featuring cotton duck construction this cap delivers the incredible toughness you expect from Carhartt. 100% firm hand cotton duck canvas Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Structured High profile Flat brim visor Adjustable fit with plastic closure Carhartt label sewn on front Carhartt embroidered on back ,Carhartt Brown,11,20,2001
Carhartt Ashland Cap. CT101604,Featuring cotton duck construction this cap delivers the incredible toughness you expect from Carhartt. 100% firm hand cotton duck canvas Carhartt Force  sweatband fights odors; FastDry  technology wicks away sweat for comfort Structured High profile Flat brim visor Adjustable fit with plastic closure Carhartt label sewn on front Carhartt embroidered on back ,Gravel,11,20,2001
Carhartt Fleece Hat. CTA207,Wear it with pride. Wear it when the icy wind blows on the job site. 100% polyester fleece for warmth Carhartt label sewn on front ,Black,8.25,16.5,2001
Carhartt Fleece Hat. CTA207,Wear it with pride. Wear it when the icy wind blows on the job site. 100% polyester fleece for warmth Carhartt label sewn on front ,Charcoal Heather,8.25,16.5,2001
Carhartt Fleece Hat. CTA207,Wear it with pride. Wear it when the icy wind blows on the job site. 100% polyester fleece for warmth Carhartt label sewn on front ,Dark Brown,8.25,16.5,2001
Carhartt Fleece 2-In-1 Headwear. CTA202,If you work and play outdoors in the winter you need this 2-in-1 hat and face mask. Hat: 100% polyester fleece for warmth Pull-down face mask: 92/8 poly/spandex Carhartt Force  fabric fights odors; FastDry  technology wicks away sweat for comfort Mask can be tucked up into hat when not in use Carhartt label sewn on front ,Black,15,25,2001
Carhartt Fleece 2-In-1 Headwear. CTA202,If you work and play outdoors in the winter you need this 2-in-1 hat and face mask. Hat: 100% polyester fleece for warmth Pull-down face mask: 92/8 poly/spandex Carhartt Force  fabric fights odors; FastDry  technology wicks away sweat for comfort Mask can be tucked up into hat when not in use Carhartt label sewn on front ,Charcoal Heather,15,25,2001
Carhartt Fleece 2-In-1 Headwear. CTA202,If you work and play outdoors in the winter you need this 2-in-1 hat and face mask. Hat: 100% polyester fleece for warmth Pull-down face mask: 92/8 poly/spandex Carhartt Force  fabric fights odors; FastDry  technology wicks away sweat for comfort Mask can be tucked up into hat when not in use Carhartt label sewn on front ,Dark Brown,15,25,2001
Carhartt Force Helmet-Liner Mask. CTA267,Be warm in the bitter cold. Wicks sweat takes the fight to odor and wins in a technical knockout. 92/8 poly/spandex blend with fleeced interior for comfort and warmth Carhartt Force  fabric fights odors; FastDry  technology wicks away sweat for comfort Full facial protection that extends below the neckline Face mask pulls down below the chin when not needed Flat seam construction enhances comfort Carhartt label printed on front Carhartt Force  logo printed on back ,Black,15,25,2001
Carhartt Force Helmet-Liner Mask. CTA267,Be warm in the bitter cold. Wicks sweat takes the fight to odor and wins in a technical knockout. 92/8 poly/spandex blend with fleeced interior for comfort and warmth Carhartt Force  fabric fights odors; FastDry  technology wicks away sweat for comfort Full facial protection that extends below the neckline Face mask pulls down below the chin when not needed Flat seam construction enhances comfort Carhartt label printed on front Carhartt Force  logo printed on back ,Shadow,15,25,2001
Carhartt Acrylic Knit Hat. CTA205,Warm and snug this beanie comes in enough colors to wear a new one every day of the week. 100% acrylic rib knit fabric Traditional beanie styling Carhartt label sewn on front ,Black,10.2,17,2001
Carhartt Acrylic Knit Hat. CTA205,Warm and snug this beanie comes in enough colors to wear a new one every day of the week. 100% acrylic rib knit fabric Traditional beanie styling Carhartt label sewn on front ,Heather Grey,10.2,17,2001
Carhartt Acrylic Knit Hat. CTA205,Warm and snug this beanie comes in enough colors to wear a new one every day of the week. 100% acrylic rib knit fabric Traditional beanie styling Carhartt label sewn on front ,Canyon Brown,10.2,17,2001
Carhartt Acrylic Knit Hat. CTA205,Warm and snug this beanie comes in enough colors to wear a new one every day of the week. 100% acrylic rib knit fabric Traditional beanie styling Carhartt label sewn on front ,Heather Grey/ Coal Heather,10.2,17,2001
Carhartt Acrylic Knit Hat. CTA205,Warm and snug this beanie comes in enough colors to wear a new one every day of the week. 100% acrylic rib knit fabric Traditional beanie styling Carhartt label sewn on front ,Dark Green,10.2,17,2001
Carhartt Acrylic Knit Hat. CTA205,Warm and snug this beanie comes in enough colors to wear a new one every day of the week. 100% acrylic rib knit fabric Traditional beanie styling Carhartt label sewn on front ,Navy,10.2,17,2001
Carhartt Acrylic Knit Hat. CTA205,Warm and snug this beanie comes in enough colors to wear a new one every day of the week. 100% acrylic rib knit fabric Traditional beanie styling Carhartt label sewn on front ,Carhartt Brown,10.2,17,2001
Carhartt Cotton Canvas Cap CT103938,With its sweat-wicking odor-fighting sweatband this cap is ready to get to work. 100% cotton washed canvas Carhartt Force sweatband fights odors; FastDry technology wicks away sweat for comfort Lightly structuredMid profile Pre-curved visor Adjustable fit with hook and loop closure Carhartt label sewn on side Carhartt embroidered on back ,Black,10.2,17,2001
Carhartt Cotton Canvas Cap CT103938,With its sweat-wicking odor-fighting sweatband this cap is ready to get to work. 100% cotton washed canvas Carhartt Force sweatband fights odors; FastDry technology wicks away sweat for comfort Lightly structuredMid profile Pre-curved visor Adjustable fit with hook and loop closure Carhartt label sewn on side Carhartt embroidered on back ,Gravel,10.2,17,2001
Carhartt Cotton Canvas Cap CT103938,With its sweat-wicking odor-fighting sweatband this cap is ready to get to work. 100% cotton washed canvas Carhartt Force sweatband fights odors; FastDry technology wicks away sweat for comfort Lightly structuredMid profile Pre-curved visor Adjustable fit with hook and loop closure Carhartt label sewn on side Carhartt embroidered on back ,Carhartt Brown,10.2,17,2001
Carhartt Cotton Canvas Cap CT103938,With its sweat-wicking odor-fighting sweatband this cap is ready to get to work. 100% cotton washed canvas Carhartt Force sweatband fights odors; FastDry technology wicks away sweat for comfort Lightly structuredMid profile Pre-curved visor Adjustable fit with hook and loop closure Carhartt label sewn on side Carhartt embroidered on back ,Navy,10.2,17,2001
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Black,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,White,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,College Navy,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Game Royal,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Anthracite,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,University Red,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Khaki,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Gorge Green,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Apple Green,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Valor Blue,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Court Purple,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Team Maroon,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Deep Maroon,9.3,18.6,2000
Nike Heritage 86 Cap 102699,Made from durable cotton twill this unstructured mid-profile cap has embroidered eyelets for enhanced breathability. Interior taping gives a comfortable fit. Closes with an adjustable self-fabric strap with metal slider. The contrast Swoosh design trademark is embroidered on the left-side middle panel. Made of 100% cotton twill. ,Desert Orange,9.3,18.6,2000
Nike Dry Visor AV9754,This lightweight three-panel visor features a pre-curved bill and an interior Dri-FIT performance sweatband that folds down for easy embroidery. Hook and loop with silicone pull tab closure. The contrast Swoosh design trademark is embroidered on the left-side panel. Made of 100% Dri-FIT polyester twill. ,College Navy,10.8,21.6,2000
Nike Dry Visor AV9754,This lightweight three-panel visor features a pre-curved bill and an interior Dri-FIT performance sweatband that folds down for easy embroidery. Hook and loop with silicone pull tab closure. The contrast Swoosh design trademark is embroidered on the left-side panel. Made of 100% Dri-FIT polyester twill. ,Game Royal,10.8,21.6,2000
Nike Dry Visor AV9754,This lightweight three-panel visor features a pre-curved bill and an interior Dri-FIT performance sweatband that folds down for easy embroidery. Hook and loop with silicone pull tab closure. The contrast Swoosh design trademark is embroidered on the left-side panel. Made of 100% Dri-FIT polyester twill. ,Anthracite,10.8,21.6,2000
